id,word,reading,meaning,meaningZh,review,source_file,site_image
n1_00023,お八,おやつ,1. (uk) between meal snack;afternoon refreshment;afternoon tea; 2. mid-day snack,点心,OK,tup_n1\files\n1_00023_お八_点心.png,assets/images/n1_00023_お八.png
n1_00115,ぶら下げる,ぶらさげる,to hang;to suspend;to dangle;to swing,悬挂,OK,tup_n1\files\n1_00115_ぶら下げる_悬挂.png,assets/images/n1_00115_ぶら下げる.png
n1_00195,ジャンパー,ジャンパー / ジャンパ / ジャンバー,jacket;jumper,夹克,OK,tup_n1\files\n1_00195_ジャンパー_夹克.png,assets/images/n1_00195_ジャンパー.png
n1_00209,スポーツカー,スポーツカー / スポーツ・カー,sports car,跑车,OK,tup_n1\files\n1_00209_スポーツカー_跑车.png,assets/images/n1_00209_スポーツカー.png
n1_00217,ソックス,ソックス,socks,袜子,OK,tup_n1\files\n1_00217_ソックス_袜子.png,assets/images/n1_00217_ソックス.png
n1_00267,パトカー,パトカー,patrol car,警车,OK,tup_n1\files\n1_00267_パトカー_警车.png,assets/images/n1_00267_パトカー.png
n1_00311,ユニフォーム,ユニフォーム / ユニホーム,uniform,制服,OK,tup_n1\files\n1_00311_ユニフォーム_制服.png,assets/images/n1_00311_ユニフォーム.png
n1_00313,ライス,ライス,rice,米饭,OK,tup_n1\files\n1_00313_ライス_米饭.png,assets/images/n1_00313_ライス.png
n1_00324,レンタカー,レンタカー,hire car (lit: rent-a-car),租车,OK,tup_n1\files\n1_00324_レンタカー_租车.png,assets/images/n1_00324_レンタカー.png
n1_00374,三日月,みかずき,new moon;crescent moon,新月,OK,tup_n1\files\n1_00374_三日月_新月.png,assets/images/n1_00374_三日月.png
n1_00384,上空,じょうくう,sky;the skies;high-altitude sky;upper air,高空,OK,tup_n1\files\n1_00384_上空_高空.png,assets/images/n1_00384_上空.png
n1_00497,人体,じんたい,human body,人体,OK,tup_n1\files\n1_00497_人体_人体.png,assets/images/n1_00497_人体.png
n1_00616,使用人,しようにん,employee;servant,仆人,OK,tup_n1\files\n1_00616_使用人_仆人.png,assets/images/n1_00616_使用人.png
n1_00635,保母,ほぼ,day care worker in a kindergarten nursery school etc.,保姆,OK,tup_n1\files\n1_00635_保母_保姆.png,assets/images/n1_00635_保母.png
n1_01089,吹奏,すいそう,playing wind instruments,吹奏,OK,tup_n1\files\n1_01089_吹奏_吹奏.png,assets/images/n1_01089_吹奏.png
n1_01129,喫茶,きっさ,tea drinking;tea house,茶馆,OK,tup_n1\files\n1_01129_喫茶_茶馆.png,assets/images/n1_01129_喫茶.png
n1_01362,富豪,ふごう,wealthy person;millionaire,富豪,OK,tup_n1\files\n1_01362_富豪_富豪.png,assets/images/n1_01362_富豪.png
n1_01420,山脈,さんみゃく,mountain range,山脉,OK,tup_n1\files\n1_01420_山脈_山脉.png,assets/images/n1_01420_山脈.png
n1_01463,年輪,ねんりん,annual tree ring,年轮,OK,tup_n1\files\n1_01463_年輪_年轮.png,assets/images/n1_01463_年輪.png
n1_01506,弟,おと,younger brother,弟弟,OK,tup_n1\files\n1_01506_弟_弟弟.png,assets/images/n1_01506_弟.png
n1_01950,晴天,せいてん,fine weather,晴天,OK,tup_n1\files\n1_01950_晴天_晴天.png,assets/images/n1_01950_晴天.png
n1_02016,杯,さかずき,wine cups,酒杯,OK,tup_n1\files\n1_02016_杯_酒杯.png,assets/images/n1_02016_杯.png
n1_02312,焚火,たきび,(open) fire,篝火,OK,tup_n1\files\n1_02312_焚火_篝火.png,assets/images/n1_02312_焚火.png
n1_02349,熱湯,ねっとう,boiling water,沸水,OK,tup_n1\files\n1_02349_熱湯_沸水.png,assets/images/n1_02349_熱湯.png
n1_02816,船舶,せんぱく,ship,船舶,OK,tup_n1\files\n1_02816_船舶_船舶.png,assets/images/n1_02816_船舶.png
n1_02827,花壇,かだん,flower bed,花坛,OK,tup_n1\files\n1_02827_花壇_花坛.png,assets/images/n1_02827_花壇.png
n1_02829,苗,なえ,rice seedling,秧苗,OK,tup_n1\files\n1_02829_苗_秧苗.png,assets/images/n1_02829_苗.png
n1_03135,軍服,ぐんぷく,military or naval uniform,军服,OK,tup_n1\files\n1_03135_軍服_军服.png,assets/images/n1_03135_軍服.png
n1_03362,雛,ひな,young bird;chick;doll,雏鸟;玩偶,OK,tup_n1\files\n1_03362_雛_雏鸟;玩偶.png,assets/images/n1_03362_雛.png
n1_03365,雨具,あまぐ,rain gear,雨衣,OK,tup_n1\files\n1_03365_雨具_雨衣.png,assets/images/n1_03365_雨具.png
n1_03366,雨天,うてん,rainy weather,下雨天,OK,tup_n1\files\n1_03366_雨天_下雨天.png,assets/images/n1_03366_雨天.png
n2_03510,おやつ,おやつ,"(1) between meal snack,afternoon refreshment",点心,OK,tup_n2\files\n2_03510_おやつ_点心.png,assets/images/n2_03510_おやつ.png
n2_03553,しびれる,しびれる / シビれる / シビレる,"to become numb,to go to sleep (i.e., a limb)",麻木；入睡,OK,tup_n2\files\n2_03553_しびれる_麻木；入睡.png,assets/images/n2_03553_しびれる.png
n2_03556,しゃがむ,しゃがむ,to squat,蹲下,OK,tup_n2\files\n2_03556_しゃがむ_蹲下.png,assets/images/n2_03556_しゃがむ.png
n2_03617,ぺん,,pen,笔,OK,tup_n2\files\n2_03617_ぺん_笔.png,assets/images/n2_03617_ぺん.png
n2_03804,並木,なみき,"roadside tree,row of trees",行道树；树列,OK,tup_n2\files\n2_03804_並木_行道树；树列.png,assets/images/n2_03804_並木.png
n2_03828,井戸,いど,water well,水井,OK,tup_n2\files\n2_03828_井戸_水井.png,assets/images/n2_03828_井戸.png
n2_03887,便箋,びんせん,"writing paper,stationery",便笺,OK,tup_n2\files\n2_03887_便箋_便笺.png,assets/images/n2_03887_便箋.png
n2_03984,刺身,さしみ,sliced raw fish,生鱼片,OK,tup_n2\files\n2_03984_刺身_生鱼片.png,assets/images/n2_03984_刺身.png
n2_04018,匙,さじ,spoon,勺子,OK,tup_n2\files\n2_04018_匙_勺子.png,assets/images/n2_04018_匙.png
n2_04069,吊る,つる,to hang,悬挂,OK,tup_n2\files\n2_04069_吊る_悬挂.png,assets/images/n2_04069_吊る.png
n2_04080,吹雪,ふぶき,snow storm,暴风雪,OK,tup_n2\files\n2_04080_吹雪_暴风雪.png,assets/images/n2_04080_吹雪.png
n2_04087,和服,わふく,Japanese clothes,和服,OK,tup_n2\files\n2_04087_和服_和服.png,assets/images/n2_04087_和服.png
n2_04091,商店,しょうてん,"shop,business firm",商店,OK,tup_n2\files\n2_04091_商店_商店.png,assets/images/n2_04091_商店.png
n2_04099,噴水,ふんすい,water fountain,喷泉,OK,tup_n2\files\n2_04099_噴水_喷泉.png,assets/images/n2_04099_噴水.png
n2_04150,塵紙,ちりがみ,"tissue paper,toilet paper",纸巾; 卫生纸,OK,tup_n2\files\n2_04150_塵紙_纸巾;_卫生纸.png,assets/images/n2_04150_塵紙.png
n2_04164,夕日,ゆうひ,"(in) the evening sun,setting sun",夕阳,OK,tup_n2\files\n2_04164_夕日_夕阳.png,assets/images/n2_04164_夕日.png
n2_04178,大木,たいぼく,large tree,大树,OK,tup_n2\files\n2_04178_大木_大树.png,assets/images/n2_04178_大木.png
n2_04184,女の人,おんなのひと,woman,女士,OK,tup_n2\files\n2_04184_女の人_女士.png,assets/images/n2_04184_女の人.png
n2_04259,山林,さんりん,"mountain forest,mountains and forest",山林；山地森林；林区,OK,tup_n2\files\n2_04259_山林_山林；山地森林；林区.png,assets/images/n2_04259_山林.png
n2_04491,日当たり,ひあたり,"exposure to the sun,sunny place",向阳地；阳光充足处,OK,tup_n2\files\n2_04491_日当たり_向阳地；阳光充足处.png,assets/images/n2_04491_日当たり.png
n2_04517,書籍,しょせき,"book,publication",书,OK,tup_n2\files\n2_04517_書籍_书.png,assets/images/n2_04517_書籍.png
n2_04541,果実,かじつ,"fruit,nut,berry.",水果,OK,tup_n2\files\n2_04541_果実_水果.png,assets/images/n2_04541_果実.png
n2_04597,水滴,すいてき,drop of water,水滴,OK,tup_n2\files\n2_04597_水滴_水滴.png,assets/images/n2_04597_水滴.png
n2_04627,海洋,かいよう,ocean,海洋；大海,OK,tup_n2\files\n2_04627_海洋_海洋；大海.png,assets/images/n2_04627_海洋.png
n2_04633,消防署,しょうぼうしょ,fire station,消防站,OK,tup_n2\files\n2_04633_消防署_消防站.png,assets/images/n2_04633_消防署.png
n2_04732,物置,ものおき,storage room,储物间,OK,tup_n2\files\n2_04732_物置_储物间.png,assets/images/n2_04732_物置.png
n2_04755,生け花,いけばな,(1) flower arrangement,花艺,OK,tup_n2\files\n2_04755_生け花_花艺.png,assets/images/n2_04755_生け花.png
n2_04766,田植え,たうえ,rice planting,插秧,OK,tup_n2\files\n2_04766_田植え_插秧.png,assets/images/n2_04766_田植え.png
n2_04865,窓口,まどぐち,ticket window,窗口,OK,tup_n2\files\n2_04865_窓口_窗口.png,assets/images/n2_04865_窓口.png
n2_04868,競馬,けいば,horse racing,赛马,OK,tup_n2\files\n2_04868_競馬_赛马.png,assets/images/n2_04868_競馬.png
n2_04887,紙幣,しへい,"paper money,notes,bills",纸币,OK,tup_n2\files\n2_04887_紙幣_纸币.png,assets/images/n2_04887_紙幣.png
n2_04950,腰掛ける,こしかける,to sit (down),坐下,OK,tup_n2\files\n2_04950_腰掛ける_坐下.png,assets/images/n2_04950_腰掛ける.png
n2_04972,茶碗,ちゃわん,"rice bowl,tea cup,teacup",饭碗,OK,tup_n2\files\n2_04972_茶碗_饭碗.png,assets/images/n2_04972_茶碗.png
n2_04991,薬品,やくひん,"medicine(s),chemical(s)",药品,OK,tup_n2\files\n2_04991_薬品_药品.png,assets/images/n2_04991_薬品.png
n2_05090,跳ぶ,とぶ,"to jump,to fly,to leap",跳跃,OK,tup_n2\files\n2_05090_跳ぶ_跳跃.png,assets/images/n2_05090_跳ぶ.png
n2_05143,遊園地,ゆうえんち,amusement park,游乐园,OK,tup_n2\files\n2_05143_遊園地_游乐园.png,assets/images/n2_05143_遊園地.png
n2_05228,電柱,でんちゅう,"telephone pole,telegraph pole,lightpole",电线杆,OK,tup_n2\files\n2_05228_電柱_电线杆.png,assets/images/n2_05228_電柱.png
n2_05256,食塩,しょくえん,table salt,食盐,OK,tup_n2\files\n2_05256_食塩_食盐.png,assets/images/n2_05256_食塩.png
n3_05306,おじいさん,おじいさん,"grandfather,male senior-citizen",祖父、爷爷,OK,tup_n3\files\n3_05306_おじいさん_祖父、爷爷.png,assets/images/n3_05306_おじいさん.png
n3_05314,お目に掛かる,おめにかかる,to meet (someone of higher status) | to be recognized (esp. by someone of higher status) | to be visible,拜见、被看见,OK,tup_n3\files\n3_05314_お目に掛かる_拜见、被看见.png,assets/images/n3_05314_お目に掛かる.png
n3_05315,お腹,おなか,stomach,肚子、胃,OK,tup_n3\files\n3_05315_お腹_肚子、胃.png,assets/images/n3_05315_お腹.png
n3_05355,そっと,そっと / そうっと / そおっと,face of the earth,地面、地表,OK,tup_n3\files\n3_05355_そっと_地面、地表.png,assets/images/n3_05355_そっと.png
n3_05434,カー,カー,car,汽车,OK,tup_n3\files\n3_05434_カー_汽车.png,assets/images/n3_05434_カー.png
n3_05442,グラス,グラス,"(1) glass,(2) grass",玻璃杯、草,OK,tup_n3\files\n3_05442_グラス_玻璃杯、草.png,assets/images/n3_05442_グラス.png
n3_05448,コンピューター,コンピュータ / コンピューター,computer,电脑、计算机,OK,tup_n3\files\n3_05448_コンピューター_电脑、计算机.png,assets/images/n3_05448_コンピューター.png
n3_05464,スープ,スープ,(Western) soup,汤、西式汤,OK,tup_n3\files\n3_05464_スープ_汤、西式汤.png,assets/images/n3_05464_スープ.png
n3_05484,ドレス,ドレス,dress,连衣裙、礼服,OK,tup_n3\files\n3_05484_ドレス_连衣裙、礼服.png,assets/images/n3_05484_ドレス.png
n3_05498,ビール,ばくしゅ / ビール,beer,啤酒,OK,tup_n3\files\n3_05498_ビール_啤酒.png,assets/images/n3_05498_ビール.png
n3_05505,ベルト,ベルト,Belt for western clothes,皮带、腰带,OK,tup_n3\files\n3_05505_ベルト_皮带、腰带.png,assets/images/n3_05505_ベルト.png
n3_05517,ミルク,ミルク,milk,牛奶,OK,tup_n3\files\n3_05517_ミルク_牛奶.png,assets/images/n3_05517_ミルク.png
n3_05527,ワイン,ワイン,wine,葡萄酒、红酒,OK,tup_n3\files\n3_05527_ワイン_葡萄酒、红酒.png,assets/images/n3_05527_ワイン.png
n3_05606,人込み,ひとごみ,crowd of people,人群,OK,tup_n3\files\n3_05606_人込み_人群.png,assets/images/n3_05606_人込み.png
n3_05685,停留所,ていりゅうじょ,bus or tram stop,公交站、电车站,OK,tup_n3\files\n3_05685_停留所_公交站、电车站.png,assets/images/n3_05685_停留所.png
n3_05705,兎,うさぎ,"rabbit,hare,cony",兔子,OK,tup_n3\files\n3_05705_兎_兔子.png,assets/images/n3_05705_兎.png
n3_05750,列車,れっしゃ,train (ordinary),列车、火车,OK,tup_n3\files\n3_05750_列車_列车、火车.png,assets/images/n3_05750_列車.png
n3_05793,医師,いし,"doctor,physician",医生,OK,tup_n3\files\n3_05793_医師_医生.png,assets/images/n3_05793_医師.png
n3_05951,太陽,たいよう,"sun,solar",太阳,OK,tup_n3\files\n3_05951_太陽_太阳.png,assets/images/n3_05951_太陽.png
n3_05963,女子,じょし,"woman,girl",女孩,OK,tup_n3\files\n3_05963_女子_女孩.png,assets/images/n3_05963_女子.png
n3_06037,居間,いま,living room (western style),客厅,OK,tup_n3\files\n3_06037_居間_客厅.png,assets/images/n3_06037_居間.png
n3_06040,履く,はく,"to wear,to put on (lower body)",穿下装、穿鞋,OK,tup_n3\files\n3_06040_履く_穿下装、穿鞋.png,assets/images/n3_06040_履く.png
n3_06087,弁当,べんとう,box lunch,便当,OK,tup_n3\files\n3_06087_弁当_便当.png,assets/images/n3_06087_弁当.png
n3_06176,戦う,たたかう,"to fight,to battle,to combat",战斗、打仗,OK,tup_n3\files\n3_06176_戦う_战斗、打仗.png,assets/images/n3_06176_戦う.png
n3_06196,抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain",抱、拥抱、怀有,OK,tup_n3\files\n3_06196_抱く_抱、拥抱、怀有.png,assets/images/n3_06196_抱く.png
n3_06242,教師,きょうし,teacher (classroom),教师、老师,OK,tup_n3\files\n3_06242_教師_教师、老师.png,assets/images/n3_06242_教師.png
n3_06244,教科書,きょうかしょ,text book,教科书,OK,tup_n3\files\n3_06244_教科書_教科书.png,assets/images/n3_06244_教科書.png
n3_06306,月,つき,"moon,month",月亮,OK,tup_n3\files\n3_06306_月_月亮.png,assets/images/n3_06306_月.png
n3_06329,松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)",松树、最高级,OK,tup_n3\files\n3_06329_松_松树、最高级.png,assets/images/n3_06329_松.png
n3_06342,椅子,いす,chair,椅子,OK,tup_n3\files\n3_06342_椅子_椅子.png,assets/images/n3_06342_椅子.png
n3_06358,機械,きかい,"machine,mechanism",机器、机械,OK,tup_n3\files\n3_06358_機械_机器、机械.png,assets/images/n3_06358_機械.png
n3_06520,田,た,rice field,稻田,OK,tup_n3\files\n3_06520_田_稻田.png,assets/images/n3_06520_田.png
n3_06718,船,ふね,"ship,boat,watercraft,shipping,vessel,steamship",船,OK,tup_n3\files\n3_06718_船_船.png,assets/images/n3_06718_船.png
n3_06732,虎,とら,tiger,老虎,OK,tup_n3\files\n3_06732_虎_老虎.png,assets/images/n3_06732_虎.png
n3_07054,馬,うま,"(1) horse,(2) promoted bishop (shogi)",马,OK,tup_n3\files\n3_07054_馬_马.png,assets/images/n3_07054_馬.png
n3_07067,魚,うお,fish,鱼,OK,tup_n3\files\n3_07067_魚_鱼.png,assets/images/n3_07067_魚.png
n3_07070,鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color",老鼠、深灰色,OK,tup_n3\files\n3_07070_鼠_老鼠、深灰色.png,assets/images/n3_07070_鼠.png
n4_07093,お・金持ち,かねもち/おかねもち,rich man,有钱人,OK,tup_n4\files\n4_07093_お・金持ち_有钱人.png,assets/images/n4_07093_お_金持ち.png
n4_07147,つき,つくえ / つき,moon,月亮,OK,tup_n4\files\n4_07147_つき_月亮.png,assets/images/n4_07147_つき.png
n4_07193,ガソリンスタンド,ガソリンスタンド / ガソリン・スタンド,petrol station,加油站,OK,tup_n4\files\n4_07193_ガソリンスタンド_加油站.png,assets/images/n4_07193_ガソリンスタンド.png
n4_07194,ガラス,ガラス,a glass pane,玻璃、玻璃窗,OK,tup_n4\files\n4_07194_ガラス_玻璃、玻璃窗.png,assets/images/n4_07194_ガラス.png
n4_07195,ケーキ,ケーキ,cake,蛋糕,OK,tup_n4\files\n4_07195_ケーキ_蛋糕.png,assets/images/n4_07195_ケーキ.png
n4_07213,パソコン,パソコン,personal computer,个人电脑,OK,tup_n4\files\n4_07213_パソコン_个人电脑.png,assets/images/n4_07213_パソコン.png
n4_07215,ビル,ビル,building or bill,大楼、账单,OK,tup_n4\files\n4_07215_ビル_大楼、账单.png,assets/images/n4_07215_ビル.png
n4_07237,中学校,ちゅうがっこう,"junior high school,middle school",初中、中学,OK,tup_n4\files\n4_07237_中学校_初中、中学.png,assets/images/n4_07237_中学校.png
n4_07245,事務所,じむしょ,office,办公室、事务所,OK,tup_n4\files\n4_07245_事務所_办公室、事务所.png,assets/images/n4_07245_事務所.png
n4_07261,会場,かいじょう,assembly hall or meeting place,会场、集合地点,OK,tup_n4\files\n4_07261_会場_会场、集合地点.png,assets/images/n4_07261_会場.png
n4_07322,地震,じしん,earthquake,地震,OK,tup_n4\files\n4_07322_地震_地震.png,assets/images/n4_07322_地震.png
n4_07340,大学生,だいがくせい,university student,大学生,OK,tup_n4\files\n4_07340_大学生_大学生.png,assets/images/n4_07340_大学生.png
n4_07341,天気予報,てんきよほう,weather forecast,天气预报,OK,tup_n4\files\n4_07341_天気予報_天气预报.png,assets/images/n4_07341_天気予報.png
n4_07342,太る,ふとる,to become fat,变胖,OK,tup_n4\files\n4_07342_太る_变胖.png,assets/images/n4_07342_太る.png
n4_07362,小学校,しょうがっこう,elementary school,小学,OK,tup_n4\files\n4_07362_小学校_小学.png,assets/images/n4_07362_小学校.png
n4_07369,工場,こうじょう,factory,工厂,OK,tup_n4\files\n4_07369_工場_工厂.png,assets/images/n4_07369_工場.png
n4_07377,店員,てんいん,shop assistant,店员,OK,tup_n4\files\n4_07377_店員_店员.png,assets/images/n4_07377_店員.png
n4_07420,拾う,ひろう,"to pick up,to gather",捡起、收集,OK,tup_n4\files\n4_07420_拾う_捡起、收集.png,assets/images/n4_07420_拾う.png
n4_07438,新聞社,しんぶんしゃ,newspaper company,报社,OK,tup_n4\files\n4_07438_新聞社_报社.png,assets/images/n4_07438_新聞社.png
n4_07439,旅館,りょかん,Japanese hotel,日式旅馆,OK,tup_n4\files\n4_07439_旅館_日式旅馆.png,assets/images/n4_07439_旅館.png
n4_07444,星,ほし,star,星星,OK,tup_n4\files\n4_07444_星_星星.png,assets/images/n4_07444_星.png
